"id","sequence","description","invoice_label","name","price_include","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id"
"VAT_S_TAXABLE_18","1","Taxable supply","Taxable supply","18% TS","False","18.0","percent","sale","tax_group_vat_18","100","base","invoice","+02.base",""
"","","","","","","","","","","100","tax","invoice","+03.tax","tz_634"
"","","","","","","","","","","100","base","refund","+02.base",""
"","","","","","","","","","","100","tax","refund","+03.tax","tz_634"
"VAT_S_DEFFERED_GOOD_O","2","Capital good for which VAT is deferred","Deferred VAT capital good","0% DFS","False","0.0","percent","sale","tax_group_vat_0","100","base","invoice","+05.base",""
"","","","","","","","","","","100","tax","invoice","",""
"","","","","","","","","","","100","base","refund","+05.base",""
"","","","","","","","","","","100","tax","refund","",""
"VAT_S_ZERO_O","3","Zero rated supply","Zero rated supply","0% ZS","False","0.0","percent","sale","tax_group_vat_0","100","base","invoice","+06.base",""
"","","","","","","","","","","100","tax","invoice","",""
"","","","","","","","","","","100","base","refund","+06.base",""
"","","","","","","","","","","100","tax","refund","",""
"VAT_S_EXEMPT_O","4","Exempt supply","Exempt supply","0% ES","False","0.0","percent","sale","tax_group_vat_0","100","base","invoice","+07.base",""
"","","","","","","","","","","100","tax","invoice","",""
"","","","","","","","","","","100","base","refund","+07.base",""
"","","","","","","","","","","100","tax","refund","",""
"VAT_S_SPRECIAL_RELIEF_O","5","Special relief/deferred supply","Special relief/deferred supply","0% SR","False","0.0","percent","sale","tax_group_vat_0","100","base","invoice","+08.base",""
"","","","","","","","","","","100","tax","invoice","",""
"","","","","","","","","","","100","base","refund","+08.base",""
"","","","","","","","","","","100","tax","refund","",""
"VAT_S_IMPORTED_18","6","Imported service","Imported service","18% IMPS","False","18.0","percent","sale","tax_group_vat_18","100","base","invoice","+09.base",""
"","","","","","","","","","","100","tax","invoice","+10.tax","tz_634"
"","","","","","","","","","","100","base","refund","+09.base",""
"","","","","","","","","","","100","tax","refund","+10.tax","tz_634"
"VAT_P_EXEMPT_O","7","Exempt purchase","Exempt purchase","0% EP","False","0.0","percent","purchase","tax_group_vat_0","100","base","invoice","+14.base",""
"","","","","","","","","","","100","tax","invoice","",""
"","","","","","","","","","","100","base","refund","+14.base",""
"","","","","","","","","","","100","tax","refund","",""
"VAT_P_NCREDITABLE_O","8","Non-creditable purchase","Non-creditable purchase","0% NCP","False","0.0","percent","purchase","tax_group_vat_0","100","base","invoice","+15.base",""
"","","","","","","","","","","100","tax","invoice","",""
"","","","","","","","","","","100","base","refund","+15.base",""
"","","","","","","","","","","100","tax","refund","",""
"VAT_P_DEFERRED_GOOD_O","9","Capital good for which VAT is deferred","Deferred VAT capital good","0% DFP","False","0.0","percent","purchase","tax_group_vat_18","100","base","invoice","+16.base",""
"","","","","","","","","","","100","tax","invoice","",""
"","","","","","","","","","","100","base","refund","+16.base",""
"","","","","","","","","","","100","tax","refund","",""
"VAT_P_IMPORTED_18","10","Imported service","Imported service","18% IMPP","False","18.0","percent","purchase","tax_group_vat_0","100","base","invoice","+17.base",""
"","","","","","","","","","","100","tax","invoice","+18.tax","tz_634"
"","","","","","","","","","","100","base","refund","+17.base",""
"","","","","","","","","","","100","tax","refund","+18.tax","tz_634"
"VAT_P_TAXABLE_18","11","Taxable supply","Taxable supply","18% TP","False","18.0","percent","purchase","tax_group_vat_0","100","base","invoice","+20.base",""
"","","","","","","","","","","100","tax","invoice","+21.tax","tz_634"
"","","","","","","","","","","100","base","refund","+20.base",""
"","","","","","","","","","","100","tax","refund","+21.tax","tz_634"
"VAT_P_IMPORT_TAXABLE_18","12","Import of taxable supplies","Import of taxable supplies","18% IMPTP","False","18.0","percent","purchase","tax_group_vat_0","100","base","invoice","+23.base",""
"","","","","","","","","","","100","tax","invoice","+24.tax","tz_634"
"","","","","","","","","","","100","base","refund","+23.base",""
"","","","","","","","","","","100","tax","refund","+24.tax","tz_634"
